Tamb,Solar,Occ,Phvac,Tzone
-17.9,0.0,3.0,0.0,-6.428411616425896e-17
-17.9,0.0,3.0,0.0,-0.7099650820490067
-17.9,0.0,3.0,0.0,-1.172872638878329
-17.9,0.0,3.0,0.0,-1.3451751169556094
-17.9,0.0,3.0,0.0,-1.4434074813505628
-17.9,0.0,3.0,0.0,-1.5825492161329535
-17.9,0.0,3.0,0.0,-1.7291769223168898
-17.9,0.0,3.0,0.0,-1.8669918527917733
-17.9,0.0,3.0,0.0,-1.993017145096532
-17.9,0.0,3.0,0.0,-2.1109410323237805
-17.9,0.0,3.0,0.0,-2.2242586482602054
-17.9,0.0,3.0,0.0,-2.3343531678645526
-17.9,0.0,3.0,0.0,-2.44247223222316
-17.9,0.0,3.0,0.0,-2.547996808880348
-17.9,0.0,3.0,0.0,-2.6503950730609622
-17.9,0.0,3.0,0.0,-2.749798477972257
-17.9,0.0,3.0,0.0,-2.839567416061737
-17.9,0.0,3.0,0.0,-2.925017139970411
-17.9,0.0,3.0,0.0,-3.0103074290109326
-17.9,0.0,3.0,0.0,-3.095680719442317
-17.9,0.0,3.0,0.0,-3.15851546782872
-17.9,0.0,3.0,0.0,-3.212699700121054
-17.9,0.0,3.0,0.0,-3.270662114613909
-17.9,0.0,3.0,0.0,-3.3334382420069635
-17.9,0.0,3.0,0.0,-3.382464679950809
-17.9,0.0,3.0,0.0,-3.4249114779895806
-17.9,0.0,3.0,0.0,-3.469539056024397
-17.9,0.0,3.0,0.0,-3.5175522226766227
-17.9,0.0,2.6493,0.0,-3.587004015124625
-17.9,0.0,2.6493,0.0,-3.653763342652689
-17.9,0.0,2.6493,0.0,-3.7086171488875785
-17.9,0.0,2.6493,0.0,-3.756125242682682
-17.9,0.0,1.22583,0.0,-3.9260540974944087
-17.9,0.0,1.22583,0.0,-4.10603795318065
-17.9,0.0,1.22583,0.0,-4.235495244777335
-17.9,0.0,1.22583,0.0,-4.324632758673711
-17.9,0.0,0.72567,0.0,-4.448045358437494
-17.9,0.0,0.72567,0.0,-4.577691828095318
-17.9,0.0,0.72567,0.0,-4.690508245112548
-17.9,0.0,0.72567,0.0,-4.78646696079034
-17.9,0.0,0.72567,0.0,-4.873134827552774
-17.9,0.0,0.72567,0.0,-4.957030500091132
-17.9,0.0,0.72567,0.0,-5.040174385056657
-17.9,0.0,0.72567,0.0,-5.122171974189777
-17.9,0.0,0.72567,0.0,-5.202306213504598
-17.9,0.0,0.72567,0.0,-5.280469252855291
-17.9,0.0,0.72567,0.0,-5.356903387118718
-17.9,0.0,0.72567,0.0,-5.431838217104505
-17.9,0.0,0.72567,0.0,-5.506197739220965
-17.9,0.0,0.72567,0.0,-5.579485964089032
-17.9,0.0,0.72567,0.0,-5.651144865416699
-17.9,0.0,0.72567,0.0,-5.721188219332646
-17.9,0.0,0.72567,0.0,-5.788835688382493
-17.9,0.0,0.72567,0.0,-5.855281534368076
-17.9,0.0,0.72567,0.0,-5.921126777399272
-17.9,0.0,0.72567,0.0,-5.986289913454179
-17.9,0.0,0.72567,0.0,-6.048176965285618
-17.9,0.0,0.72567,0.0,-6.108476108961182
-17.9,0.0,0.72567,0.0,-6.168509575664936
-17.9,0.0,0.72567,0.0,-6.22835350590946
-17.9,0.0,0.72567,0.0,-6.277574689245001
-17.9,0.0,0.72567,0.0,-6.322254894153737
